Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
That Bonesetter Woman,Frances Quinn,"",9781471193460,digital,to-read,2024/01/21,"","",0,"",,,,,,,,,"",,"",No
A Game of Thrones,George R.R. Martin,"",9780553588484,paperback,read,2013/08/13,"","",1,"",,,,,,,5.0,,"",,"",No
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2013/08/13,"","",1,"",,,,,,,4.0,,"",,"",No
Mockingjay,Suzanne Collins,"",9780439023511,hardcover,read,2013/08/13,"","",1,"",,,,,,,2.0,,"",,"",No
The Hobbit,J.R.R. Tolkien,Andy Serkis (Narrator),9781705009048,audio,read,2013/08/13,"","",1,"",,,,,,,4.0,,"",,"",No
Harry Potter and the Goblet of Fire,J.K. Rowling,Mary GrandPré (Illustrator),9780439139601,paperback,read,2013/08/13,"","",1,"",,,,,,,4.0,,"",,"",No
The Work of Art: How Something Comes from Nothing,Adam Moss,"",9780593297582,hardcover,to-read,2024/06/10,"","",0,"",,,,,,,,,"",,"",No
Dracula Daily,Bram Stoker,Matt Kirkland (Contributor),"",digital,read,2024/04/20,2024/11/07,2024/05/04-2024/11/07,1,"",,,,,,,,,"",,"",No
The Three-Body Problem,Cixin Liu,Ken Liu (Translator),9780765377067,hardcover,to-read,2024/01/21,"","",0,"",,,,,,,,,"",,"",No
Atonement,Ian McEwan,"",9780385721790,paperback,read,2013/08/13,"","",1,"",,,,,,,,,"",,"",No
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Mary GrandPré (Illustrator),9780590353427,paperback,read,2013/08/13,"","",1,"",,,,,,,4.0,,"",,"",No
Mark Twain's Letters from Hawaii,Mark Twain,A. Grove Day,9780824802882,paperback,currently-reading,2024/08/28,"","",0,"",,,,,,,,,"",,"",No
Out of the Girls' Room and Into the Night: Stories,Thisbe Nissen,"",9780385720533,paperback,read,2023/09/12,2023/10/24,2023/09/11-2023/10/24,1,"",,,,,,,,,"",,"",Yes
